nombre,cerveceria,estilo,abv,puntaje,aroma,sabor,sensacion,apariencia
Supplication,Russian River Brewing Company,Wild Ale,4.49,4.5,4.5,4.5,4.25,4.75
Abbaye De Saint Bon-Chien Grand Cru 2017 Mon Cœur Continuera De Battre Pour,BFM (Brasserie des Franches-Montagnes),Wild Ale,4.37,4.25,4.5,4.5,4.0,4.0
Brain Fuzz,Wild Mind Artisan Ales,Sour - Fruited Kettle Sour,4.75,5.0,4.0,5.0,5.0,4.75
Sinister Prime Minister - Bourbon Barrel Aged,Magnify Brewing Company,Stout - American Imperial,3.08,3.0,3.0,3.0,3.75,3.0
Baxter,Fremont Brewing Company,IPA - American,3.69,3.5,4.0,3.5,3.75,4.25
König Pilsener,König-Brauerei GmbH,Pilsner - German,4.38,4.25,4.25,4.5,4.5,4.25
Dismembers Only,3 Floyds Brewing Co.,Stout - American Imperial,4.18,4.25,4.0,4.25,4.25,4.0
Fair Maiden,Foley Brothers Brewing,IPA - Imperial,4.41,4.25,4.5,4.5,4.25,4.25
Paper Crowns,Xül Beer Co.,IPA - New England,3.95,4.0,3.75,4.0,4.25,3.75
Shiner Holiday Cheer,Spoetzl Brewery,Wheat Beer - Dunkelweizen,2.63,2.5,2.5,2.5,3.0,3.75
Alter Ego,Tree House Brewing Company,IPA - New England,4,4.0,4.0,4.0,4.0,4.0
33 Acres Of Life,33 Acres Brewing Co.,California Common / Steam Beer,3.43,3.25,4.0,3.0,3.75,4.0
Kernza Pils,Dogfish Head Craft Brewery,Pilsner - Bohemian / Czech,3.57,3.5,3.25,3.75,3.75,3.5
Guinness 0.0,Guinness Ltd.,Low-Alcohol Beer,3.9,4.0,3.75,3.75,4.25,4.5
Komes Russian Imperial Stout,Browar Fortuna,Stout - Russian Imperial,4.5,4.5,4.5,4.5,4.5,4.5
Pillow Factory,Shovel Town Brewery,IPA - New England,3.61,3.75,3.5,3.5,3.75,4.0
Dead Don't Die Vanilla,Third Moon Brewing,Stout - Sweet / Milk,4.23,4.25,4.25,4.25,4.0,4.25
Zombie Fog,Abomination Brewing Company,IPA - New England,4.3,4.5,4.25,4.25,4.25,4.25
Origin of Darkness - Vitamin Sea,Collective Arts Brewing,Stout - American Imperial,4.59,4.25,4.5,5.0,4.75,3.0
2XCitrus,Southern Tier Brewing Company,IPA - American,2.52,2.75,2.75,2.25,2.25,3.0
Airbrush Hazy IPA,Grand Strand Brewing Company,IPA - New England,3.95,4.0,4.0,4.0,3.5,4.0
French Toast Devil Dog,Roak Brewing Co.,Stout - Oatmeal,4.25,4.25,4.5,4.25,3.75,4.0
Moonraker Stout,Southern Brewing & Winemaking Supply,Stout - American Imperial,3.83,3.75,4.0,3.75,3.75,4.0
A Night On Ponce,Three Taverns Craft Brewery,IPA - American,3.98,4.0,4.0,4.0,3.75,4.0
Hydra Hawk,Mortalis Brewing Co.,Sour - Fruited Kettle Sour,4.44,4.5,4.5,4.5,4.5,3.5
Lo-Pitch,Hi-Wire Brewing,IPA - American,4.46,4.5,4.5,4.5,4.25,4.25
Chronicopia,Venn Brewing Co.,IPA - Imperial,4.43,4.5,4.25,4.5,4.5,4.25
Funky Wit Cherry,Perennial Artisan Ales,Wild Ale,4.38,4.25,4.25,4.5,4.5,4.25
Wisdom's Hour,Victory Brewing Company - Downingtown,Wild Ale,4.65,4.5,4.75,4.75,4.5,4.25
Nightmare On Brett,Crooked Stave Artisan Beer Project,Brett Beer,4.75,4.75,4.75,4.75,4.75,4.75
451 Juicy IPA,Flying Dog Brewery,IPA - New England,3.78,3.75,3.75,3.75,4.0,3.75
Respect Your Elders,Lancaster Brewing Company,IPA - Imperial,3.82,4.0,3.75,3.75,3.75,4.0
Big Little Thing,Sierra Nevada Brewing Co.,IPA - Imperial,4.23,4.5,4.0,4.0,5.0,4.5
Goon Squad,Brew Hub,IPA - Imperial,4.24,4.25,4.25,4.25,4.0,4.5
Premium Pils,Bitburger Brauerei,Pilsner - German,3.96,4.0,3.75,4.0,4.0,4.25
Hop'lin IPA,Southbound Brewing Company,IPA - American,4,4.0,4.0,4.0,4.0,4.0
Nothing From Nothing Leaves Nothing,Voodoo Brewery,IPA - Imperial,4.08,4.0,4.0,4.25,3.75,4.0
Sunshine Slushy,3 Sons Brewing Company,Sour - Fruited Kettle Sour,3.96,3.75,4.25,4.0,3.75,3.5
Dirty Girl,Abandoned Building Brewery,IPA - American,4.75,4.75,4.75,4.75,4.75,4.75
Wonder Woman Punch,Barreled Souls Brewing Company,Sour - Gose,3.92,4.0,3.75,4.0,3.75,4.0
