name;id;sp_attack;sp_defense;speed;ability
Bulbasaur1;1;65;65;45;Overgrow
Ivysaur1;2;80;80;60;Overgrow
Venusaur1;3;122;120;80;Overgrow
Charmander1;4;60;50;65;Blaze
Charmeleon1;5;80;65;80;Blaze
Charizard1;6;159;115;100;Blaze
Squirtle1;7;50;64;43;Torrent
Wartortle1;8;65;80;58;Torrent
Blastoise1;9;135;115;78;Torrent
Caterpie1;10;20;20;45;Shield Dust
Metapod1;11;25;25;30;Shed Skin
Butterfree1;12;90;80;70;Compoundeyes
Weedle1;13;20;20;50;Shield Dust
Kakuna1;14;25;25;35;Shed Skin
Beedrill1;15;15;80;145;Swarm
Pidgey1;16;35;35;56;Keen Eye
Pidgeotto1;17;50;50;71;Keen Eye
Pidgeot1;18;135;80;121;Keen Eye
Rattata1;19;25;35;72;Run Away
Raticate1;20;40;80;77;Run Away
Spearow1;21;31;31;70;Keen Eye
Fearow1;22;61;61;100;Keen Eye
Ekans1;23;40;54;55;Intimidate
Arbok1;24;65;79;80;Intimidate
Pikachu1;25;50;50;90;Static
Raichu1;26;95;85;110;Static
Sandshrew1;27;10;35;40;Sand Veil
Sandslash1;28;25;65;65;Sand Veil
Nidoran-h1;29;40;40;41;Poison Point
Nidorina1;30;55;55;56;Poison Point
Nidoqueen1;31;75;85;76;Poison Point
Nidoran-m1;32;40;40;50;Poison Point
Nidorino1;33;55;55;65;Poison Point
Nidoking1;34;85;75;85;Poison Point
Clefairy1;35;60;65;35;Cute Charm
Clefable1;36;95;90;60;Cute Charm
Vulpix1;37;50;65;65;Flash Fire
Ninetales1;38;81;100;109;Flash Fire
Jigglypuff1;39;45;25;20;Cute Charm
Wigglytuff1;40;85;50;45;Cute Charm
Zubat1;41;30;40;55;Inner Focus
Golbat1;42;65;75;90;Inner Focus
Oddish1;43;75;65;30;Chlorophyll
Gloom1;44;85;75;40;Chlorophyll
Vileplume1;45;110;90;50;Chlorophyll
Paras1;46;45;55;25;Effect Spore
Parasect1;47;60;80;30;Effect Spore
Venonat1;48;40;55;45;Compoundeyes
Venomoth1;49;90;75;90;Shield Dust
Diglett1;50;35;45;90;Sand Veil
Dugtrio1;51;50;70;110;Sand Veil
Meowth1;52;50;40;90;Pickup
Persian1;53;75;65;115;Limber
Psyduck1;54;65;50;55;Damp
Golduck1;55;95;80;85;Damp
Mankey1;56;35;45;70;Vital Spirit
Primeape1;57;60;70;95;Vital Spirit
Growlithe1;58;70;50;60;Intimidate
Arcanine1;59;100;80;95;Intimidate
Poliwag1;60;40;40;90;Water Absorb
Poliwhirl1;61;50;50;90;Water Absorb
Poliwrath1;62;70;90;70;Water Absorb
Abra1;63;105;55;90;Synchronize
Kadabra1;64;120;70;105;Synchronize
Alakazam1;65;175;105;150;Synchronize
Machop1;66;35;35;35;Guts
Machoke1;67;50;60;45;Guts
Machamp1;68;65;85;55;Guts
Bellsprout1;69;70;30;40;Chlorophyll
Weepinbell1;70;85;45;55;Chlorophyll
Victreebel1;71;100;70;70;Chlorophyll
Tentacool1;72;50;100;70;Clear Body
Tentacruel1;73;80;120;100;Clear Body
Geodude1;74;30;30;20;Rock Head
Graveler1;75;45;45;35;Rock Head
